"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"52 Odengatan, Stockholm 113 51 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,"info@mauroespressobar.se","1080","600",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1080","540",,,,,"2226741","false","false","59.34391","18.0545","Mauro Espresso Bar","9","+46 8 34 56 88","","3012","1759","#102 of 140 Coffee & Tea in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d2226741-Reviews-Mauro_Espresso_Bar-Stockholm.html","http://mauroespressobar.se/"
"Sodra Blasieholmshamnen 8, Stockholm 103 27 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"info@grandhotel.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19808318","false","false","59.32906","18.076147","Grand Cafe","3","+46 8 679 35 00","","3012","1762","#1,563 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d19808318-Reviews-Grand_Cafe-Stockholm.html","https://www.grandhotel.se/mat-dryck/grand-cafe"
"39 Sankt Eriksgatan, Stockholm 112 34 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7722191","false","false","59.333805","18.032255","Restaurang China Corner","23","+46 8 651 50 40","","3012","1756","#1,558 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7722191-Reviews-Restaurang_China_Corner-Stockholm.html",
"Nybohovsbacken 54, Stockholm 117 64 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"info@pizzeriadelmare.se","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"12809213","false","false","59.30908","18.0155","Del Mare Restaurang & Pizzeria","3","+46 8 18 75 07","","3012","1760","#1,561 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d12809213-Reviews-Del_Mare_Restaurang_Pizzeria-Stockholm.html","https://www.pizzeriadelmare.se/"
"10 Lusuddsvaegen, Stockholm 117 66 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,"lfagerblad@gmail.com","1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"4470646","false","false","59.316273","18.016626","Cafe Cul De Sac","13","+46 73 535 80 27","$$ - $$$","3012","1758","#1,560 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d4470646-Reviews-Cafe_Cul_De_Sac-Stockholm.html","https://www.facebook.com/CafeCulDeSac"
"Hammarby Alle 13A, Stockholm 120 32 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17664765","false","false","59.30218","18.084986","Sushi Sun","3","+46 8 20 99 60","","3012","2232","#2,000 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17664765-Reviews-Sushi_Sun-Stockholm.html","http://www.sushisun.se"
"Ostermalmstorg 1-3, Stockholm 102 43 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"care@joejuice.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13008593","false","false","59.336407","18.079071","Joe & the Juice","2",,"","3012","2236","#2,004 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13008593-Reviews-Joe_the_Juice-Stockholm.html","https://www.joejuice.com/stores/sweden/%C3%A5hl%C3%A9ns-oestermalmstorg/"
"56 Finlandsgatan, Kista 164 74 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Sushi","Asian","Thai",,,,,,,,,,,"restaurang.tuktuk@live.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4228485","false","false","59.41709","17.920336","Tutu""s Thai & Sushi","5","+46 8 650 65 00","","43","25","#21 of 48 Restaurants in Kista","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1025032-d4228485-Reviews-Tutu_s_Thai_Sushi-Kista.html",
"Langholmsgatan 27, Stockholm 11733 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"HEJ@BABELBAZAAR.SE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17412740","false","false","59.31576","18.03426","Babel Bazaar","3","+46 8 668 39 03","","3012","2233","#2,001 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17412740-Reviews-Babel_Bazaar-Stockholm.html","http://www.babelbazaar.se/"
"Danderydsgatan 23, Stockholm 11426 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19261019","false","false","59.34431","18.07055","Flying Fish","2","+46 8 121 459 39","","3012","2230","#1,999 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d19261019-Reviews-Flying_Fish-Stockholm.html","http://flyingfish23.com"
"2 Torkel Knutssonsgatan, Stockholm 118 25 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10451707","false","false","59.320953","18.05637","Torkels Terrass","10",,"$$ - $$$","3012","2235","#2,003 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d10451707-Reviews-Torkels_Terrass-Stockholm.html","http://www.torkels.se/"
"60 Sveavaegen, Stockholm 111 34 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"1440","540",,,,,"1440","420",,,,,"1440","420",,,,,"1440","420",,,,,"1440","420",,,,,"1560","420",,,,,"1560","540",,,,,"1952507","false","false","59.33869","18.060572","Cafe 60","141",,"$$ - $$$","3012","2231","#57 of 67 Dessert in Stockholm","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1952507-Reviews-Cafe_60-Stockholm.html","http://www.cafe60.se/"
"2-6 Fraemlingsvaegen, Stockholm 117 26 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Thai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5958747","false","false","59.303883","18.003717","JJ'S Thai To Go","17","+46 8 720 21 36","$","3012","2229","#1,998 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d5958747-Reviews-JJ_S_Thai_To_Go-Stockholm.html","http://www.thaitogo.lunchinfo.com"
"Raalambsvaegen 17 23 Trappor, Stockholm 112 59 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Swedish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6676207","false","false","59.32817","18.01636","Tornet Restaurang & Konferens","2","+46 8 618 25 00","","3012","2237","#2,005 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d6676207-Reviews-Tornet_Restaurang_Konferens-Stockholm.html","http://www.compass-group.se/restauranger/Tornet-Restaurang--Konferens/"
"81 Folkungagatan Sodermalm, Stockholm 116 22 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3365951","false","false","59.3152","18.08035","En Till Grek","20","+46 8 641 89 28","$$ - $$$","3012","2234","#2,002 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d3365951-Reviews-En_Till_Grek-Stockholm.html",
"Isafjordsgatan 22, Stockholm 164 40 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European",,,,,,,,,,,,,"electrum@eurest.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13427439","false","false","59.40474","17.949444","Electrum PUUR","3","+46 8 632 38 04","","3012","2278","#2,043 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13427439-Reviews-Electrum_PUUR-Stockholm.html","http://www.compass-group.se/restauranger/Electrum/"
"Gotgatan 58, Stockholm 118 26 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15758604","false","false","59.31392","18.07329","Caffe l’Antico Kaffebar & Handel","1","+46 8 400 254 53","","3012","2277","#2,042 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d15758604-Reviews-Caffe_l_Antico_Kaffebar_Handel-Stockholm.html",
"Abrahamsbergsvagen 9, Bromma 168 30 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13483166","false","false","59.336258","17.952795","Bonne Femme Cafe","8","+46 8 121 470 05","","77","55","#49 of 79 Restaurants in Bromma","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g230088-d13483166-Reviews-Bonne_Femme_Cafe-Bromma.html","http://www.bonnefemme.se/bromma"
"Ostgotagatan 39 Sodermalm, Stockholm 116 25 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Asian","Korean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13078963","false","false","59.314064","18.076899","Sea Sushi","6","+46 8 615 01 13","$","3012","2279","#2,044 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13078963-Reviews-Sea_Sushi-Stockholm.html",
"Hornstulls Strand 3, Stockholm Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Latin","Bar","International","Spanish","Pub","Fusion","Caucasian",,,,,,,"riokassan@gmail.com","1080","600",,,,,"1260","960",,,,,"1260","600",,,,,"1260","660",,,,,"1260","660",,,,,"1320","660",,,,,"1320","720",,,,,"13168073","false","false","59.31531","18.03062","BISTRO RIO","9","+46 8 669 95 00","","3012","2281","#2,046 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13168073-Reviews-BISTRO_RIO-Stockholm.html","http://biorio.se"
"Sveavagen 108, Stockholm 113 50 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Mexican","Bar","Pub",,,,,,,,,,,"kontakt@tacobar.se","1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"9701724","false","false","59.34332","18.056509","Taco Bar Sveavagen 108","23","+46 8 673 34 77","$","3012","2280","#2,045 of 3,017 Restaurants in Stockholm","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d9701724-Reviews-Taco_Bar_Sveavagen_108-Stockholm.html","http://tacobar.se/restauranger/taco-bar-stockholm-sveavagen-108/"
"23 Bergsgatan, Stockholm 112 28 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Thai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7070014","false","false","59.329983","18.042097","Sakura Sushi","5","+46 8 651 05 25","","3012","2284","#2,049 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7070014-Reviews-Sakura_Sushi-Stockholm.html",
"21 Norrlandsgatan, Stockholm 111 43 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1316007","false","false","59.3353","18.07083","Gooh !","4","+46 8 21 08 50","","3012","2285","#2,050 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1316007-Reviews-Gooh-Stockholm.html",
"92 Hornsgatan, Stockholm 118 21 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"info@bistro-celine.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1789296","false","false","59.31779","18.05285","Celine - Italiensk Bistro","5","+46 8 669 91 56","","3012","2282","#2,047 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1789296-Reviews-Celine_Italiensk_Bistro-Stockholm.html","http://www.bistro-celine.se"
"Sorgardsvagen 24, Stockholm 163 52 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"1260","660",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","660",,,,,"17418324","false","false","59.381397","17.895237","Gerds Pizzabutik","1","+46 8 36 03 46","","3012","2243","#2,011 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17418324-Reviews-Gerds_Pizzabutik-Stockholm.html","http://www.gerdspizzabutik.se"
"Sveavagen 23, Stockholm Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Asian","Fusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15273488","false","false","59.33577","18.06295","Lett","4",,"","3012","2283","#2,048 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d15273488-Reviews-Lett-Stockholm.html","http://www.lett.se"
"Skalholtsgatan 9, Kista 16440 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10712626","false","false","59.40057","17.95622","HK Restaurang","6","+46 8 751 80 85","$$ - $$$","43","26","#22 of 48 Restaurants in Kista","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1025032-d10712626-Reviews-HK_Restaurang-Kista.html",
"Ulvsundavagen 160, Stockholm 16867 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"info@max.se","1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"15263383","false","false","59.350594","17.957413","Max","3","+46 8 506 697 00","","3012","2245","#2,013 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d15263383-Reviews-Max-Stockholm.html","http://www.max.se/sv/Hitta-MAX/Restauranger/Stockholm-Ulvsundavagen/"
"Klara Malarstrand 2, Stockholm 11152 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Swedish",,,,,,,,,,,,"Hello@klarastrandcafe.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18189691","false","false","59.328","18.05794","Klara Strand Cafe","1","+46 72 251 34 25","","3012","2239","#2,007 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d18189691-Reviews-Klara_Strand_Cafe-Stockholm.html","http://Www.klarastrandcafe.se"
"Sturegatan 24, Stockholm 172 31 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5499027","false","false","59.36313","17.96862","Sushi King","3","+46 8 28 38 82","","3012","2238","#2,006 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d5499027-Reviews-Sushi_King-Stockholm.html","http://www.sushiking.se/"
"85 Odengatan, Stockholm 113 22 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Steakhouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1420144","false","false","59.34176","18.04708","Houston Steakhouse","3","+46 8 30 51 30","","3012","2246","#2,014 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1420144-Reviews-Houston_Steakhouse-Stockholm.html",
"Sankt Eriksgatan 108, Stockholm 11331 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Georgian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17740524","false","false","59.34454","18.03988","Khachapuri Bar","2","+46 8 122 938 22","$","3012","2242","#2,010 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17740524-Reviews-Khachapuri_Bar-Stockholm.html","https://www.facebook.com/khachapuribar/"
"60 Sveavaegen, Stockholm 111 34 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7290707","false","false","59.335705","18.063297","Skitiga Duken","6",,"","3012","2241","#2,009 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7290707-Reviews-Skitiga_Duken-Stockholm.html",
"Love Almqvists vag 12, Stockholm 112 53 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18894090","false","false","59.33483","17.99917","Pizzeria Kristineberg","1","+46 8 618 25 66","","3012","2240","#2,008 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d18894090-Reviews-Pizzeria_Kristineberg-Stockholm.html","http://www.pizzeriakristineberg.se/"
"Lilla Bantorget 23, Stockholm 111 23 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","European","Fusion","Scandinavian",,,,,,,,,,"verdibowl@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15855562","false","false","59.33529","18.05134","Verdi Bowl Bar","3","+46 72 043 22 71","$$ - $$$","3012","2244","#2,012 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d15855562-Reviews-Verdi_Bowl_Bar-Stockholm.html","https://www.facebook.com/Verdibowl/"
"13 Haelsovaegen, Stockholm 141 57 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,"960","420",,,,,"960","420",,,,,"960","420",,,,,"960","420",,,,,"960","420",,,,,,,,,,,"5956397","false","false","59.28536","18.11384","Restaurang 61:an","1","+46 8 585 800 46","","3012","2255","#2,022 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d5956397-Reviews-Restaurang_61_an-Stockholm.html","http://extranet.sodexo.se/sv/Sites2/Restaurang_Sjukhus/Restauranger/Restaurang-61an/"
"Sjukhusbacken 26, Stockholm 11861 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17814890","false","false","59.31028","18.05689","Thelins","1","+46 8 720 33 11","","3012","2247","#2,015 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17814890-Reviews-Thelins-Stockholm.html","http://www.thelinskonditori.se/vara-butiker/sodersjukhuset/"
"Fleminggatan 39, Stockholm 11230 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Hawaiian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15779962","false","false","59.33327","18.04074","Poke Burge","2","+46 8 26 11 03","","3012","2248","#2,016 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d15779962-Reviews-Poke_Burge-Stockholm.html","http://pokeburger.se"
"Renstiernas gata 22, Stockholm 11631 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Irish","Bar","Pub",,,,,,,,,,,"info@mcgregorsportsbar.se",,,,,,,"1380","960",,,,,"1020","960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17518977","false","false","59.3147","18.084","McGregor Sportsbar 1982","1","+46 8 22 00 08","$$ - $$$","3012","2253","#2,020 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17518977-Reviews-McGregor_Sportsbar_1982-Stockholm.html","http://www.mcgregorsportsbar.se/"
"18-20 Saetra Torg Sätra centrum, Stockholm 127 38 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Seafood","Middle Eastern","Arabic",,,,,,,,,,"ahmed@ziadi.net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10134893","false","false","59.26228","18.01437","Mazgoof Restaurang","7","+46 8 646 00 60","$$ - $$$","3012","2287","#2,052 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d10134893-Reviews-Mazgoof_Restaurang-Stockholm.html","http://mazgoof.se/"
"Kista Galleria, Kista 164 91 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Middle Eastern","Persian","Halal",,,,,,,,,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"2649386","false","false","59.40435","17.94401","Saffran","54","+46 8 75 18 60","$$ - $$$","43","27","#23 of 48 Restaurants in Kista","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1025032-d2649386-Reviews-Saffran-Kista.html","http://www.kistagalleria.se/index/restaurants/restaurants/saffran.htm"
"Hovdingagatan 14 Aspuddsparken, Stockholm 126 52 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","Barbecue","Diner","Street Food",,,,,,,,,,"boka@golfbarenaspudden.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13929760","false","false","59.30704","17.995329","Golfbaren Aspudden","4","+46 8 618 61 05","$$ - $$$","3012","2291","#2,056 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13929760-Reviews-Golfbaren_Aspudden-Stockholm.html","http://www.golfbarenaspudden.se"
"Regeringsgatan 52, Stockholm 111 56 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,"care@joejuice.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13078610","false","false","59.33485","18.06789","Joe & the Juice","1",,"","3012","2292","#59 of 67 Dessert in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13078610-Reviews-Joe_the_Juice-Stockholm.html","https://www.joejuice.com/"
"Sankt Eriksgatan 1, Stockholm 112 39 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Bar","Cafe","Wine Bar",,,,,,,,,,"kontakt@mamabear.nu","1260","600",,,,,,,,,,,"1020","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"21068421","false","false","59.329124","18.028765","Mama Bear Kungsholmen","4","+46 8 740 72 72","","3012","2290","#2,055 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d21068421-Reviews-Mama_Bear_Kungsholmen-Stockholm.html","https://www.facebook.com/MamaBearKungsholmen/"
"Dobelnsgatan 8, Stockholm 11140 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"info@bellalaspezia.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17455085","false","false","59.33987","18.06271","Bella La Spezia","1","+46 8 22 77 01","","3012","2257","#2,024 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17455085-Reviews-Bella_La_Spezia-Stockholm.html","http://bellalaspezia.se"
"Rorstrandsgatan 10, Stockholm 113 40 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,"care@joejuice.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13008592","false","false","59.34002","18.03429","Joe & The Juice","1",,"","3012","2286","#2,051 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13008592-Reviews-Joe_The_Juice-Stockholm.html","http://www.joejuice.com/"
"Scheelegatan 9, Stockholm 112 28 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14094512","false","false","59.33168","18.044403","Joe & the Juice","1",,"","3012","2252","#2,019 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d14094512-Reviews-Joe_the_Juice-Stockholm.html","https://www.joejuice.com/stores/sweden/scheelegatan/"
