"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"23 Henderson Row, Edinburgh EH3 5DH Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","British","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,"960","570",,,,,"960","420",,,,,"960","420",,,,,"960","420",,,,,"960","420",,,,,"960","420",,,,,"960","480",,,,,"2708566","false","false","55.96049","-3.20219","new town deli","68","+44 800 073 1211","$","2181","1434","#167 of 264 Quick Bites in Edinburgh","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2708566-Reviews-New_town_deli-Edinburgh_Scotland.html","http://www.thenewtowndeli.com"
"129 Morrison Street, Edinburgh EH3 8AJ Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","French","International","British","Scottish","Vegetarian Friendly",,,,,,,,,,"lechoppe@outlook.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7724894","false","false","55.94613","-3.21126","L'Echoppe","10","+44 7525 856058","","2181","1438","#1,164 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d7724894-Reviews-L_Echoppe-Edinburgh_Scotland.html","https://www.facebook.com/LEchoppe-747717758766416/"
"379 Leith Walk, Edinburgh EH6 8SE Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Pub","Street Food","German","Bar",,,,,,,,,,,"bierhoose@gmail.com","60","0",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"60","0",,,,,"60","0",,,,,"12190418","false","false","55.96355","-3.177772","Bier Hoose","32","+44 131 629 2731","$","2181","1431","#1,158 of 1,906 Restaurants in Edinburgh","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d12190418-Reviews-Bier_Hoose-Edinburgh_Scotland.html","http://www.facebook.com/bierhoose/"
"39 Argyle Place, Edinburgh EH9 1JT Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,"matt@detourespresso.co.uk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15346123","false","false","55.939274","-3.191712","Detour Espresso","6","+44 7811 149305","","2181","1440","#31 of 38 Bakeries in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d15346123-Reviews-Detour_Espresso-Edinburgh_Scotland.html","https://www.facebook.com/detourespresso/"
"3 Atholl Place, Edinburgh EH3 8HP Scotland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Indian","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"dine@mumbaidinersclub.co.uk","1320","720",,,,,,,,,,,"1320","900",,,,,"1320","900",,,,,"1320","900",,,,,"1320","720",,,,,"1320","720",,,,,"14925577","false","false","55.947643","-3.213743","Mumbai Diners' Club","165","+44 131 229 8291","$$ - $$$","2181","253","#225 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d14925577-Reviews-Mumbai_Diners_Club-Edinburgh_Scotland.html","https://www.mumbaidinersclub.co.uk"
"11 Braid Hills Drive, Edinburgh EH10 6GZ Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,"hermitage@aiscotland.org.uk","1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"3514085","false","false","55.9162","-3.2064","The Hermitage Cafe & Golf Course","19","+44 131 447 5700","$","2181","1433","#1,160 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3514085-Reviews-The_Hermitage_Cafe_Golf_Course-Edinburgh_Scotland.html","http://www.hermitagescotland.co.uk"
"55 Clerk Street, Edinburgh EH8 9JQ Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Scottish","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,"1080","540",,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"1080","540",,,,,"10342498","false","false","55.941845","-3.1821","Natural Food Kafe","56","+44 131 667 7480","$","2181","1432","#1,159 of 1,906 Restaurants in Edinburgh","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d10342498-Reviews-Natural_Food_Kafe-Edinburgh_Scotland.html",
"182-184 Bruntsfield Place, Edinburgh EH10 4DF Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013",,,,,,,"restaurant","European","British","Contemporary","Scottish","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"enquiries@cafegrande.co.uk","1320","570",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"953550","false","false","55.936104","-3.20941","Cafe Grande","380","+44 131 228 1188","$$ - $$$","2181","263","#232 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d953550-Reviews-Cafe_Grande-Edinburgh_Scotland.html","http://www.cafegrande.cafe"
"119 High Street, Edinburgh EH1 1SG Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Bar","British","Pub","Scottish","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"bar@whiskibar.co.uk","1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"794284","false","false","55.950302","-3.186471","Whiski Bar & Restaurant","1719","+44 131 556 3095","$$ - $$$","2181","269","#238 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d794284-Reviews-Whiski_Bar_Restaurant-Edinburgh_Scotland.html","http://www.whiskibar.co.uk"
"3 Royal Terrace, Edinburgh EH7 5AB Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","European","British","Healthy","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"reservations@21212restaurant.co.uk",,,,,,,,,,,,,,,,,,,"825","720","1290","1125",,,"825","720","1290","1125",,,"825","720","1290","1125",,,"825","720","1290","1125",,,"1503790","false","false","55.956944","-3.180731","21212 Restaurant","1101","+44 131 523 1030","$$$$","2181","262","#231 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1503790-Reviews-21212_Restaurant-Edinburgh_Scotland.html","http://www.21212restaurant.co.uk/"
"33A George Street, Edinburgh EH2 2HN Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2168219","false","false","55.95362","-3.197441","Wellington Coffee","377","+44 131 225 6854","$","2181","261","#16 of 264 Quick Bites in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2168219-Reviews-Wellington_Coffee-Edinburgh_Scotland.html","http://www.facebook.com/pages/Wellington-Coffee/155017791183994"
"92 Lothian Road, Edinburgh EH3 9BE Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","American","Bar","Pub","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"edinburgh@breadmeatsbread.com","1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"9581716","false","false","55.94642","-3.205724","Bread Meats Bread","1004","+44 131 225 3000","$$ - $$$","2181","268","#237 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d9581716-Reviews-Bread_Meats_Bread-Edinburgh_Scotland.html","http://breadmeatsbread.com"
"11 Lochrin Terrace, Edinburgh EH3 9QJ Scotland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"630","300",,,,,,,,,,,"630","300",,,,,"630","300",,,,,"630","300",,,,,"630","300",,,,,"630","300",,,,,"14066676","false","false","55.943226","-3.204718","Yamato","132","+44 131 466 5964","$$ - $$$","2181","270","#239 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d14066676-Reviews-Yamato-Edinburgh_Scotland.html","http://www.yamatosushiedinburgh.co.uk"
"151 Morrison Street, Edinburgh EH3 8AG Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Steakhouse","European","British","Scottish","Gluten Free Options",,,,,,,,,,,"1320","1050",,,,,"1320","1050",,,,,"1320","1050",,,,,"1320","1050",,,,,"1320","1050",,,,,"1350","1020",,,,,"1350","1020",,,,,"1317114","false","false","55.94612","-3.212422","The McKirdy's Steakhouse","793","+44 131 229 6660","$$ - $$$","2181","265","#234 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1317114-Reviews-The_McKirdy_s_Steakhouse-Edinburgh_Scotland.html","http://www.mckirdyssteakhouse.co.uk/"
"4-7 North Bank Street, Edinburgh EH1 2LP Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Bar","British","Scottish","Grill","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"bookings@whiskirooms.co.uk","1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"2238992","false","false","55.95001","-3.193571","Whiski Rooms","2092","+44 131 225 7224","$$ - $$$","2181","266","#235 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2238992-Reviews-Whiski_Rooms-Edinburgh_Scotland.html","http://www.whiskirooms.co.uk"
"38 Shore, Edinburgh EH6 6QU Scotland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"733719","false","false","55.976048","-3.169645","Pizza Express","134","+44 131 554 4332","$$ - $$$","2181","1064","#897 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d733719-Reviews-Pizza_Express-Edinburgh_Scotland.html","http://www.pizzaexpress.com/visit-a-restaurant/restaurant/edinburgh-leith/?utm_source=Google&utm_medium=Places&utm_campaign=google_places"
"99 Comiston Road, Edinburgh EH10 6AG Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Indian","Balti","Eastern European","Vegetarian Friendly",,,,,,,,,,,,"1320","1020",,,,,"1320","1020",,,,,,,,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"2401326","false","false","55.92275","-3.21056","The Hill Station","36","+44 131 447 8550","$$ - $$$","2181","1437","#1,163 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2401326-Reviews-The_Hill_Station-Edinburgh_Scotland.html","http://www.thehillstation.net"
"1 George Square, Edinburgh EH8 9JZ Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","German","Fast Food","European","Grill","Street Food","Vegetarian Friendly",,,,,,,,,"ontheroll@hotmail.de",,,,,,,"900","660",,,,,"900","660",,,,,"900","660",,,,,"900","660",,,,,"900","660",,,,,,,,,,,"3877128","false","false","55.94445","-3.18787","On The Roll","20",,"$","2181","1077","#103 of 264 Quick Bites in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3877128-Reviews-On_The_Roll-Edinburgh_Scotland.html","http://www.ontheroll.co.uk"
"67 Lauriston Farm Road, Edinburgh EH4 5EX Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","British","Gluten Free Options","Vegetarian Friendly",,,,,,,,,,,,"1350","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"2318621","false","false","55.97135","-3.274637","Lauriston Farm Toby Carvery","349","+44 131 312 7071","$","2181","1076","#906 of 1,906 Restaurants in Edinburgh","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2318621-Reviews-Lauriston_Farm_Toby_Carvery-Edinburgh_Scotland.html","http://www.tobycarvery.co.uk/"
"77 South Bridge, Edinburgh EH1 1HN Scotland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10454467","false","false","55.9484","-3.18686","Costa Coffee","51",,"$","2181","1080","#104 of 264 Quick Bites in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d10454467-Reviews-Costa_Coffee-Edinburgh_Scotland.html",
"12-14 Comiston Road, Edinburgh EH10 5QE Scotland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","British","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"LeafandBeanEdinburgh@outlook.com","1020","600",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"4107030","false","false","55.91955","-3.21264","Leaf & Bean","82","+44 7887 910900","$$ - $$$","2181","1075","#102 of 264 Quick Bites in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d4107030-Reviews-Leaf_Bean-Edinburgh_Scotland.html","https://www.facebook.com/leafandbean6"
"33 Deanhaugh Street, Edinburgh EH4 1LR Scotland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","British","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7989739","false","false","55.9585","-3.20971","Cafe No. 33","74",,"$","2181","1079","#95 of 214 Coffee & Tea in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d7989739-Reviews-Cafe_No_33-Edinburgh_Scotland.html",
"85-87 Lothian Road, Edinburgh EH3 9AW Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Turkish","Grill","Fusion","Vegetarian Friendly","Halal",,,,,,,,,"feedback@germandonerkebab.com","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"17605293","false","false","55.946434","-3.205496","German Doner Kebab - Edinburgh - Lothian Road","106","+44 131 228 8555","$$ - $$$","2181","1074","#101 of 264 Quick Bites in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d17605293-Reviews-German_Doner_Kebab_Edinburgh_Lothian_Road-Edinburgh_Scotland.html","http://www.germandonerkebab.com"
"4 Earl Grey Street, Edinburgh EH3 9BN Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Fast Food","Deli","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@laviolacafe.co.uk","1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"19250216","false","false","55.943935","-3.204197","La Viola Cafe & Bistro","60","+44 131 228 9085","$","2181","264","#233 of 1,906 Restaurants in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d19250216-Reviews-La_Viola_Cafe_Bistro-Edinburgh_Scotland.html","http://www.laviolacafe.com"
"4 Waverley Bridge, Edinburgh EH1 1BQ Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","British","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1316462","false","false","55.95279","-3.190514","Spud-u-Like","46","+44 131 557 1546","$","2181","1072","#100 of 264 Quick Bites in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1316462-Reviews-Spud_u_Like-Edinburgh_Scotland.html","http://www.spudulike.com/locations?circle_op=%3C&circle%5Bvalue%5D=25&circle%5Blocation%5D=edinburgh"
"25 Broughton Street, Edinburgh EH1 3JU Scotland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Bar","British","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2536138","false","false","55.957043","-3.188386","Mathers Bar","93","+44 131 556 6754","$$ - $$$","2181","1071","#904 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2536138-Reviews-Mathers_Bar-Edinburgh_Scotland.html","http://www.broughtonstreet.co.uk/mathers.htm"
"32C Broughton Street, Edinburgh EH1 3SB Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"10149157","false","false","55.958084","-3.189426","Edens Kitchen","153","3213","$$ - $$$","2181","267","#236 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d10149157-Reviews-Edens_Kitchen-Edinburgh_Scotland.html","http://www.edens-kitchen.com"
"2B Picardy Place, Edinburgh EH1 3JT Scotland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","Bar","International","Pub",,,,,,,,,,,,,"1500","750",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1620","720",,,,,"1620","720",,,,,"1588487","false","false","55.957012","-3.186864","The Street","104","+44 131 556 4272","$$ - $$$","2181","1078","#907 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1588487-Reviews-The_Street-Edinburgh_Scotland.html","http://www.thestreetbaredinburgh.co.uk/"
"4th Floor 33 Castle Street, Edinburgh EH2 3DN Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Thai","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"edinburgh@chaophraya.co.uk","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"3613243","false","false","55.952374","-3.203149","Chaophraya Edinburgh","3012","+44 131 634 0023","$$ - $$$","2181","277","#245 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3613243-Reviews-Chaophraya_Edinburgh-Edinburgh_Scotland.html","http://chaophraya.co.uk/edinburgh"
"83 Morrison Street, Edinburgh EH3 8BU Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","European","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"hello@ishkaedinburgh.co.uk",,,,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"12473991","false","false","55.945744","-3.209503","Ishka","169","+44 131 228 7517","$$ - $$$","2181","274","#243 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d12473991-Reviews-Ishka-Edinburgh_Scotland.html","http://www.ishkaedinburgh.co.uk/"
"12 Barclay Terrace, Edinburgh EH10 4HP Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"leftfieldedinburgh@gmail.com","870","600",,,,,,,,,,,"1260","1050",,,,,"1260","1050",,,,,"1260","1050",,,,,"1260","1050",,,,,"840","600","1260","1050",,,"12717715","false","false","55.939526","-3.203909","LeftField","94","+44 131 229 1394","$$ - $$$","2181","272","#241 of 1,906 Restaurants in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d12717715-Reviews-LeftField-Edinburgh_Scotland.html","http://www.leftfieldedinburgh.co.uk/"
"63 Cockburn Street, Edinburgh EH1 1BS Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Mediterranean","European","Middle Eastern","Vegetarian Friendly","Vegan Options","Halal","Gluten Free Options",,,,,,,,"lailas-bistro@hotmail.com","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"5534589","false","false","55.95059","-3.188738","Laila's Mediterranean Bistro","1268","+44 131 226 5097","$$ - $$$","2181","280","#248 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d5534589-Reviews-Laila_s_Mediterranean_Bistro-Edinburgh_Scotland.html","http://lailas-bistro.co.uk"
"26 William Street, Edinburgh EH3 7NH Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Bar","European","British","Pub","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"1500","630",,,,,"1500","630",,,,,"1500","630",,,,,"1500","630",,,,,"1500","630",,,,,"1500","630",,,,,"1500","630",,,,,"730228","false","false","55.949337","-3.212454","Teuchters Bar","455","+44 131 225 2973","$$ - $$$","2181","273","#242 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d730228-Reviews-Teuchters_Bar-Edinburgh_Scotland.html","http://teuchtersbar.co.uk/teuchters-west-end-bar/"
"38 South Bridge, Edinburgh EH1 1LL Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","British","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,"info@thepiemaker.co.uk","1050","630",,,,,"1050","630",,,,,"1020","600",,,,,"1050","630",,,,,"1050","630",,,,,"1050","630",,,,,"1050","630",,,,,"1790014","false","false","55.948612","-3.186816","The Piemaker","765","+44 131 558 1728","$","2181","276","#17 of 264 Quick Bites in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1790014-Reviews-The_Piemaker-Edinburgh_Scotland.html","http://www.thepiemaker.co.uk/"
"3 Johnston Terrace Near Edinburgh Castle, Edinburgh EH1 2PW Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Lebanese","Healthy","Middle Eastern","Vegetarian Friendly","Vegan Options","Halal","Gluten Free Options",,,,,,,,"hanams@hotmail.co.uk","1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1320","720",,,,,"1320","720",,,,,"752900","false","false","55.948727","-3.194357","Hanam's Middle East Restaurant","1818","+44 131 225 1329","$$ - $$$","2181","271","#240 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d752900-Reviews-Hanam_s_Middle_East_Restaurant-Edinburgh_Scotland.html","http://www.hanams.com"
